"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"61242",256.10608,-0.014349125,-0.10065736
"61243",256.1101,-0.01438462,-0.10067477
"61244",256.11407,-0.01440791,-0.10069217
"61245",256.1181,-0.014404781,-0.10070956
"61246",256.12207,-0.01439859,-0.10072694
"61247",256.1261,-0.014413118,-0.10074432
"61248",256.13007,-0.0144509375,-0.100761704
"61249",256.1341,-0.014471546,-0.100779094
"61250",256.13806,-0.014467657,-0.1007965
"61251",256.1421,-0.014457911,-0.100813925
"61252",256.14606,-0.014473021,-0.100831375
"61253",256.1501,-0.014507443,-0.10084885
"61254",256.15405,-0.014525637,-0.10086637
"61255",256.15808,-0.014521077,-0.10088393
"61256",256.16205,-0.014518976,-0.10090154
"61257",256.16608,-0.014530063,-0.10091919
"61258",256.17004,-0.01456064,-0.1009369
"61259",256.17407,-0.0145853385,-0.10095465
"61260",256.17804,-0.014581092,-0.10097246
"61261",256.18207,-0.014569044,-0.10099032
"61262",256.18604,-0.014581539,-0.10100822
"61263",256.19006,-0.014614955,-0.10102616
"61264",256.19403,-0.014633283,-0.10104415
"61265",256.19806,-0.014632478,-0.10106216
"61266",256.20203,-0.014620833,-0.10108022
"61267",256.20605,-0.014630824,-0.10109831
"61268",256.21002,-0.014666073,-0.10111643
"61269",256.21405,-0.014686458,-0.10113457
"61270",256.21802,-0.014680557,-0.101152726
"61271",256.22205,-0.014668241,-0.1011709
"61272",256.226,-0.014680155,-0.10118908
"61273",256.23004,-0.014712498,-0.101207264
"61274",256.234,-0.014730401,-0.10122545
"61275",256.23804,-0.014724255,-0.10124364
"61276",256.242,-0.014720857,-0.101261824
"61277",256.24603,-0.014729351,-0.10128001
"61278",256.25,-0.014758587,-0.1012982
"61279",256.25403,-0.014783822,-0.10131638
"61280",256.258,-0.014776647,-0.10133454
"61281",256.26202,-0.014768735,-0.10135269
"61282",256.266,-0.0147795975,-0.10137082
"61283",256.27002,-0.0148090795,-0.10138892
"61284",256.274,-0.014830671,-0.10140699
"61285",256.278,-0.014827341,-0.10142503
"61286",256.28198,-0.0148167685,-0.10144302
"61287",256.286,-0.014825843,-0.10146097
"61288",256.28998,-0.014853045,-0.10147886
"61289",256.294,-0.01488018,-0.10149669
"61290",256.29797,-0.014882661,-0.10151446
"61291",256.302,-0.014869541,-0.101532154
"61292",256.30597,-0.014876716,-0.101549774
"61293",256.31,-0.01491297,-0.10156732
"61294",256.31396,-0.014932215,-0.10158478
"61295",256.318,-0.01493407,-0.10160216
"61296",256.32196,-0.014921017,-0.10161947
"61297",256.326,-0.014929891,-0.10163669
"61298",256.32996,-0.014963552,-0.101653844
"61299",256.33398,-0.014989682,-0.10167092
"61300",256.33795,-0.014986083,-0.101687916
"61301",256.34198,-0.014973454,-0.101704836
"61302",256.34595,-0.014983468,-0.10172168
"61303",256.34998,-0.015017778,-0.10173846
"61304",256.35394,-0.015039749,-0.10175518
"61305",256.35797,-0.0150406435,-0.10177185
"61306",256.36194,-0.015032016,-0.10178848
"61307",256.36597,-0.015037157,-0.10180509
"61308",256.36993,-0.015070662,-0.10182167
"61309",256.37396,-0.015095718,-0.10183822
"61310",256.37793,-0.015094355,-0.10185476
"61311",256.38196,-0.015082978,-0.10187127
"61312",256.38593,-0.015087761,-0.10188776
"61313",256.38995,-0.015124507,-0.10190424
"61314",256.39392,-0.015152469,-0.10192072
"61315",256.39795,-0.015147194,-0.10193718
"61316",256.40192,-0.01514288,-0.10195364
"61317",256.40594,-0.015151933,-0.10197011
"61318",256.4099,-0.015184343,-0.10198657
"61319",256.41394,-0.015207723,-0.102003045
"61320",256.4179,-0.0152077675,-0.10201953
"61321",256.42194,-0.015196681,-0.10203603
"61322",256.4259,-0.015206136,-0.10205254
"61323",256.42993,-0.0152397305,-0.10206906
"61324",256.4339,-0.015257902,-0.102085575
"61325",256.43793,-0.015260898,-0.10210209
"61326",256.4419,-0.015255131,-0.102118604
"61327",256.44592,-0.015263088,-0.10213511
"61328",256.4499,-0.015294291,-0.10215161
"61329",256.45392,-0.015322052,-0.10216812
"61330",256.4579,-0.015322253,-0.102184646
"61331",256.4619,-0.015307367,-0.10220119
"61332",256.46588,-0.015315615,-0.10221777
"61333",256.4699,-0.01534874,-0.102234386
"61334",256.47388,-0.015372969,-0.10225104
"61335",256.4779,-0.015373819,-0.10226774
"61336",256.48187,-0.015359312,-0.10228449
"61337",256.4859,-0.015366845,-0.10230128
"61338",256.48987,-0.0154060945,-0.10231811
"61339",256.4939,-0.015433967,-0.102334976
"61340",256.49786,-0.015430279,-0.10235189
"61341",256.5019,-0.015421227,-0.10236885
"61342",256.50586,-0.015434325,-0.10238584
"61343",256.5099,-0.015465103,-0.102402866
"61344",256.51385,-0.015490405,-0.10241991
"61345",256.51788,-0.01549302,-0.102436975
"61346",256.52185,-0.015484437,-0.10245404
"61347",256.52588,-0.015491568,-0.1024711
"61348",256.52985,-0.015523106,-0.10248815
"61349",256.53387,-0.015548989,-0.10250519
"61350",256.53784,-0.015558578,-0.10252221
"61351",256.54187,-0.015548296,-0.10253921
"61352",256.54584,-0.015556276,-0.102556184
"61353",256.54987,-0.015593916,-0.10257314
"61354",256.55383,-0.015617363,-0.102590084
"61355",256.55786,-0.015624359,-0.10260702
"61356",256.56183,-0.015614346,-0.102623954
"61357",256.56586,-0.015622437,-0.1026409
"61358",256.56982,-0.01565677,-0.102657855
"61359",256.57385,-0.01568757,-0.10267483
"61360",256.57782,-0.015694298,-0.10269182
"61361",256.58185,-0.015682116,-0.10270885
"61362",256.58582,-0.015691325,-0.1027259
"61363",256.58984,-0.015725926,-0.102742985
"61364",256.5938,-0.015753038,-0.10276011
"61365",256.59784,-0.015757486,-0.10277727
"61366",256.6018,-0.01574564,-0.102794476
"61367",256.60583,-0.015754312,-0.102811724
"61368",256.6098,-0.015793428,-0.10282901
"61369",256.61383,-0.015821792,-0.10284634
"61370",256.6178,-0.015826575,-0.102863714
"61371",256.62183,-0.015813075,-0.10288113
"61372",256.6258,-0.015820965,-0.1028986
"61373",256.62982,-0.015854828,-0.102916114
"61374",256.6338,-0.015882075,-0.10293369
"61375",256.63782,-0.01588554,-0.10295133
"61376",256.64178,-0.01587139,-0.10296904
"61377",256.6458,-0.015879326,-0.10298683
"61378",256.64978,-0.015914507,-0.10300469
"61379",256.6538,-0.01594495,-0.10302263
"61380",256.65778,-0.015945107,-0.10304064
"61381",256.6618,-0.01593554,-0.10305874
