"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"10484",53.536354,-0.0027727112,-0.022352748
"10485",53.54035,-0.002597943,-0.0223556
"10486",53.544365,-0.002593428,-0.022358453
"10487",53.548363,-0.0027795285,-0.022361305
"10488",53.55236,-0.0028779432,-0.022364153
"10489",53.55636,-0.0027779415,-0.022366995
"10490",53.560356,-0.0026003793,-0.022369832
"10491",53.56437,-0.0025974736,-0.022372667
"10492",53.568367,-0.0027828366,-0.022375498
"10493",53.572365,-0.0028789714,-0.022378324
"10494",53.576378,-0.0027837753,-0.022381146
"10495",53.580376,-0.0026038662,-0.022383964
"10496",53.584373,-0.0025985464,-0.02238678
"10497",53.58837,-0.002787441,-0.022389596
"10498",53.59237,-0.0028815195,-0.022392413
"10499",53.596382,-0.0027856752,-0.022395229
"10500",53.60038,-0.0026070178,-0.022398049
"10501",53.604378,-0.002598904,-0.022400875
"10502",53.60839,-0.002789408,-0.022403708
"10503",53.61239,-0.0028846264,-0.022406545
"10504",53.616386,-0.0027892739,-0.022409385
"10505",53.620384,-0.0026145056,-0.02241223
"10506",53.624382,-0.0026021004,-0.02241508
"10507",53.628395,-0.0027898774,-0.02241793
"10508",53.632393,-0.0028897896,-0.022420786
"10509",53.63639,-0.0027905256,-0.022423642
"10510",53.640404,-0.0026146173,-0.022426497
"10511",53.6444,-0.0026049167,-0.022429353
"10512",53.6484,-0.002788715,-0.022432204
"10513",53.652397,-0.0028911084,-0.022435047
"10514",53.656395,-0.0027949512,-0.022437878
"10515",53.660408,-0.0026145056,-0.022440694
"10516",53.664406,-0.0026054084,-0.022443498
"10517",53.668404,-0.0027903244,-0.022446286
"10518",53.672417,-0.0028901696,-0.022449056
"10519",53.676414,-0.002797477,-0.022451805
"10520",53.680412,-0.0026153997,-0.022454534
"10521",53.68441,-0.0026059896,-0.022457244
"10522",53.688408,-0.002793163,-0.022459932
"10523",53.69242,-0.0028895438,-0.022462595
"10524",53.69642,-0.0027986616,-0.02246523
"10525",53.700417,-0.0026189312,-0.02246784
"10526",53.70443,-0.0026034638,-0.022470422
"10527",53.708427,-0.0027931854,-0.022472978
"10528",53.712425,-0.0028924048,-0.022475503
"10529",53.716423,-0.0027975217,-0.022478
"10530",53.72042,-0.002621211,-0.022480467
"10531",53.724434,-0.002605006,-0.02248291
"10532",53.72843,-0.002791196,-0.022485327
"10533",53.73243,-0.0028928518,-0.022487719
"10534",53.736443,-0.002798304,-0.022490086
"10535",53.74044,-0.0026217252,-0.022492433
"10536",53.74444,-0.002605632,-0.022494761
"10537",53.748436,-0.002788514,-0.022497073
"10538",53.752434,-0.0028948635,-0.022499364
"10539",53.756447,-0.002801098,-0.022501636
"10540",53.760445,-0.0026200041,-0.022503894
"10541",53.764442,-0.0026059672,-0.02250614
"10542",53.768456,-0.0027882904,-0.022508375
"10543",53.772453,-0.0028916895,-0.0225106
"10544",53.77645,-0.0028028414,-0.022512812
"10545",53.78045,-0.002619557,-0.022515014
"10546",53.784447,-0.0026039109,-0.022517208
"10547",53.78846,-0.0027898997,-0.022519398
"10548",53.792458,-0.0028902367,-0.022521582
"10549",53.796455,-0.0028019473,-0.022523755
"10550",53.80047,-0.002620943,-0.022525921
"10551",53.804466,-0.0026013851,-0.022528082
"10552",53.808464,-0.0027886033,-0.022530235
"10553",53.81246,-0.002890326,-0.02253238
"10554",53.81646,-0.002799444,-0.022534512
"10555",53.820473,-0.0026223734,-0.022536634
"10556",53.82447,-0.00259991,-0.022538744
"10557",53.82847,-0.0027856752,-0.022540845
"10558",53.83248,-0.0028912872,-0.022542931
"10559",53.83648,-0.002799265,-0.022545002
"10560",53.840477,-0.0026214793,-0.022547059
"10561",53.844475,-0.0026008487,-0.022549102
"10562",53.848473,-0.0027819201,-0.02255113
"10563",53.852486,-0.0028901026,-0.022553142
"10564",53.856483,-0.002800718,-0.022555137
"10565",53.86048,-0.00261911,-0.022557115
"10566",53.864494,-0.002600044,-0.02255908
"10567",53.868492,-0.002781652,-0.022561032
"10568",53.87249,-0.0028880462,-0.02256297
"10569",53.876488,-0.002801925,-0.022564892
"10570",53.880486,-0.002618149,-0.0225668
"10571",53.8845,-0.002596736,-0.022568695
"10572",53.888496,-0.0027807578,-0.02257058
"10573",53.892494,-0.0028850734,-0.02257245
"10574",53.896507,-0.0028016567,-0.022574306
"10575",53.900505,-0.002619803,-0.022576144
"10576",53.904503,-0.002593428,-0.022577967
"10577",53.9085,-0.002779305,-0.022579774
"10578",53.9125,-0.0028843358,-0.022581562
"10579",53.91651,-0.0027974546,-0.02258333
"10580",53.92051,-0.002619356,-0.02258508
"10581",53.924507,-0.0025919974,-0.022586813
"10582",53.92852,-0.0027757064,-0.022588532
"10583",53.932518,-0.0028861016,-0.022590233
"10584",53.936516,-0.0027971193,-0.022591913
"10585",53.940514,-0.002618596,-0.022593575
"10586",53.94451,-0.002591908,-0.02259522
"10587",53.948524,-0.0027723536,-0.02259685
"10588",53.952522,-0.0028839782,-0.022598464
"10589",53.95652,-0.002797857,-0.022600066
"10590",53.960533,-0.0026160702,-0.022601657
"10591",53.96453,-0.0025928468,-0.022603234
"10592",53.96853,-0.0027709007,-0.022604804
"10593",53.972527,-0.0028811842,-0.022606365
"10594",53.976524,-0.002799645,-0.022607917
"10595",53.980537,-0.0026148856,-0.022609461
"10596",53.984535,-0.00258746,-0.022611002
"10597",53.988533,-0.0027704984,-0.022612538
"10598",53.992546,-0.0028779209,-0.022614073
"10599",53.996544,-0.0027971864,-0.022615606
"10600",54.00054,-0.0026150644,-0.022617139
"10601",54.00454,-0.0025848001,-0.022618676
"10602",54.008537,-0.002768688,-0.022620216
"10603",54.01255,-0.0028776973,-0.022621762
"10604",54.01655,-0.0027941465,-0.02262331
"10605",54.020546,-0.002615355,-0.022624863
"10606",54.02456,-0.0025826767,-0.022626424
"10607",54.028557,-0.0027647763,-0.022627994
"10608",54.032555,-0.0028770268,-0.02262957
"10609",54.036552,-0.0027920902,-0.022631153
"10610",54.04055,-0.0026135892,-0.022632744
"10611",54.044563,-0.0025832579,-0.022634348
"10612",54.04856,-0.0027606636,-0.022635963
"10613",54.05256,-0.002874881,-0.022637589
"10614",54.056572,-0.002793789,-0.022639224
"10615",54.06057,-0.0026119351,-0.02264087
"10616",54.064568,-0.002583012,-0.02264253
"10617",54.068565,-0.0027601048,-0.022644201
"10618",54.072563,-0.0028735176,-0.022645881
"10619",54.076576,-0.0027945936,-0.02264757
"10620",54.080574,-0.0026108176,-0.022649271
"10621",54.08457,-0.0025799721,-0.022650985
"10622",54.088585,-0.0027608424,-0.022652712
"10623",54.092583,-0.0028709471,-0.022654451
"10624",54.09658,-0.002795197,-0.0226562
"10625",54.10058,-0.002613388,-0.02265796
"10626",54.104576,-0.002577357,-0.022659734
"10627",54.10859,-0.0027601048,-0.022661518
"10628",54.112587,-0.0028718412,-0.022663312
"10629",54.116585,-0.0027928278,-0.022665113
"10630",54.120598,-0.0026142374,-0.022666922
"10631",54.124596,-0.0025774688,-0.022668738
"10632",54.128593,-0.0027582943,-0.02267056
"10633",54.13259,-0.0028738081,-0.022672383
"10634",54.13659,-0.0027944148,-0.022674207
"10635",54.140602,-0.002615288,-0.022676028
"10636",54.1446,-0.0025791898,-0.022677852
"10637",54.148598,-0.0027567968,-0.022679675
"10638",54.15261,-0.002875261,-0.0226815
"10639",54.15661,-0.0027973652,-0.022683326
"10640",54.160606,-0.0026148409,-0.022685152
"10641",54.164604,-0.0025807545,-0.02268698
"10642",54.168602,-0.002757199,-0.022688814
"10643",54.172615,-0.002873361,-0.022690648
"10644",54.176613,-0.002800271,-0.022692485
"10645",54.18061,-0.002616562,-0.022694325
"10646",54.184624,-0.0025801063,-0.022696171
"10647",54.18862,-0.0027606636,-0.022698022
"10648",54.19262,-0.0028738976,-0.022699878
"10649",54.196617,-0.0028008074,-0.022701733
"10650",54.200615,-0.0026191324,-0.022703592
"10651",54.204628,-0.0025798604,-0.022705453
"10652",54.208626,-0.0027612,-0.022707313
"10653",54.212624,-0.002876021,-0.022709172
"10654",54.216637,-0.0028013214,-0.022711026
"10655",54.220634,-0.0026231557,-0.022712873
"10656",54.224632,-0.0025806427,-0.022714715
"10657",54.22863,-0.0027599484,-0.022716554
"10658",54.232628,-0.0028791726,-0.022718387
"10659",54.23664,-0.0028021485,-0.022720214
"10660",54.24064,-0.0026244968,-0.022722036
"10661",54.244637,-0.002584353,-0.022723854
"10662",54.24865,-0.002759546,-0.022725668
"10663",54.252647,-0.0028808936,-0.022727475
"10664",54.256645,-0.0028070882,-0.022729274
"10665",54.260643,-0.0026245639,-0.022731064
"10666",54.26464,-0.0025856942,-0.022732846
"10667",54.268654,-0.0027604178,-0.02273462
"10668",54.27265,-0.0028806701,-0.022736384
"10669",54.27665,-0.0028099045,-0.022738136
"10670",54.280663,-0.002625011,-0.022739882
"10671",54.28466,-0.0025852025,-0.022741621
"10672",54.28866,-0.0027629212,-0.022743355
"10673",54.292656,-0.0028795078,-0.022745084
"10674",54.296654,-0.0028111115,-0.022746809
"10675",54.300667,-0.002627872,-0.022748532
"10676",54.304665,-0.0025820956,-0.022750258
"10677",54.308662,-0.0027619824,-0.022751993
"10678",54.312675,-0.0028813854,-0.022753734
"10679",54.316673,-0.0028093457,-0.022755483
"10680",54.32067,-0.002630733,-0.022757242
"10681",54.32467,-0.0025841072,-0.022759011
"10682",54.328667,-0.0027605072,-0.022760794
"10683",54.33268,-0.0028828382,-0.022762587
