"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"154892",632.62024,-0.0037435815,-0.16638178
"154893",632.62427,-0.0037520528,-0.16639042
"154894",632.6283,-0.0037754998,-0.16639896
"154895",632.6323,-0.0037826747,-0.16640739
"154896",632.63635,-0.003770046,-0.16641572
"154897",632.6404,-0.003764391,-0.16642395
"154898",632.6444,-0.0037710965,-0.16643207
"154899",632.64844,-0.0037984997,-0.1664401
"154900",632.65247,-0.0038090497,-0.16644803
"154901",632.6565,-0.0037970692,-0.16645586
"154902",632.6605,-0.003787145,-0.16646361
"154903",632.66455,-0.0038010702,-0.16647127
"154904",632.6686,-0.003821522,-0.16647886
"154905",632.6726,-0.0038320497,-0.16648635
"154906",632.67664,-0.0038208514,-0.16649376
"154907",632.68066,-0.0038088262,-0.16650109
"154908",632.6847,-0.003822729,-0.16650833
"154909",632.6887,-0.0038437843,-0.1665155
"154910",632.69275,-0.0038502216,-0.16652258
"154911",632.6968,-0.003837794,-0.16652957
"154912",632.7008,-0.003824003,-0.16653648
"154913",632.70483,-0.0038398951,-0.1665433
"154914",632.70886,-0.0038683042,-0.16655006
"154915",632.7129,-0.0038744733,-0.16655672
"154916",632.7169,-0.0038620234,-0.1665633
"154917",632.72095,-0.0038499087,-0.1665698
"154918",632.725,-0.0038638115,-0.16657622
"154919",632.729,-0.0038841516,-0.16658257
"154920",632.73303,-0.0038889125,-0.16658886
"154921",632.73706,-0.0038763508,-0.16659507
"154922",632.7411,-0.0038685054,-0.16660121
"154923",632.7451,-0.0038715675,-0.16660729
"154924",632.74915,-0.0038990825,-0.1666133
"154925",632.7532,-0.0039084926,-0.16661924
"154926",632.7572,-0.003891997,-0.16662513
"154927",632.7612,-0.003887996,-0.16663095
"154928",632.76526,-0.0038999543,-0.16663672
"154929",632.7693,-0.003914617,-0.16664243
"154930",632.7733,-0.0039201826,-0.16664807
"154931",632.77734,-0.003907129,-0.16665368
"154932",632.7814,-0.0038989037,-0.16665922
"154933",632.7854,-0.0039094537,-0.1666647
"154934",632.7894,-0.0039212555,-0.16667014
"154935",632.79346,-0.0039345324,-0.16667554
"154936",632.7975,-0.0039227754,-0.16668087
"154937",632.8015,-0.0039166287,-0.16668616
"154938",632.80554,-0.00392814,-0.1666914
"154939",632.8096,-0.0039437413,-0.16669658
"154940",632.8136,-0.003950089,-0.16670172
"154941",632.8176,-0.0039369464,-0.1667068
"154942",632.82166,-0.003929347,-0.16671184
"154943",632.8257,-0.0039410368,-0.16671681
"154944",632.8297,-0.003953442,-0.16672175
"154945",632.83374,-0.00396768,-0.16672662
"154946",632.83777,-0.003957309,-0.16673145
"154947",632.8418,-0.0039499104,-0.16673622
"154948",632.8458,-0.003959857,-0.16674094
"154949",632.84985,-0.0039820075,-0.1667456
"154950",632.8539,-0.003987953,-0.16675022
"154951",632.8579,-0.003975436,-0.16675481
"154952",632.86194,-0.0039689764,-0.16675936
"154953",632.86597,-0.003982097,-0.16676387
"154954",632.87,-0.004002884,-0.16676836
"154955",632.874,-0.004013568,-0.16677281
"154956",632.87805,-0.0040027946,-0.16677724
"154957",632.8821,-0.0039920434,-0.16678163
"154958",632.8861,-0.0040064827,-0.16678602
"154959",632.89014,-0.0040282533,-0.16679037
"154960",632.89417,-0.004034914,-0.1667947
"154961",632.8982,-0.004022576,-0.16679904
"154962",632.9022,-0.004009813,-0.16680336
"154963",632.90625,-0.004026979,-0.16680768
"154964",632.9103,-0.0040563717,-0.166812
"154965",632.9143,-0.004059635,-0.16681634
"154966",632.91833,-0.004044883,-0.16682069
"154967",632.92236,-0.0040426254,-0.16682506
"154968",632.9264,-0.004052572,-0.16682945
"154969",632.9304,-0.0040759295,-0.16683388
"154970",632.93445,-0.0040787905,-0.16683833
"154971",632.9385,-0.0040717945,-0.16684282
"154972",632.9425,-0.004065536,-0.16684735
"154973",632.94653,-0.0040731356,-0.16685192
"154974",632.95056,-0.0040956438,-0.16685653
"154975",632.9546,-0.0041014105,-0.16686118
"154976",632.9586,-0.004087262,-0.16686587
"154977",632.96265,-0.004081182,-0.16687062
"154978",632.9667,-0.0040866584,-0.16687542
"154979",632.9707,-0.004113391,-0.16688026
"154980",632.97473,-0.0041235164,-0.16688515
"154981",632.97876,-0.0041097477,-0.16689008
"154982",632.9828,-0.0041004047,-0.16689506
"154983",632.9868,-0.004116118,-0.16690008
"154984",632.99084,-0.004132502,-0.16690513
"154985",632.9949,-0.0041420236,-0.16691023
"154986",632.9989,-0.0041303784,-0.16691536
"154987",633.0029,-0.004118152,-0.16692051
"154988",633.00696,-0.004131183,-0.1669257
"154989",633.011,-0.004151188,-0.16693091
"154990",633.015,-0.0041559488,-0.16693614
"154991",633.01904,-0.004143141,-0.16694139
"154992",633.0231,-0.004128769,-0.16694665
"154993",633.0271,-0.004144527,-0.16695192
"154994",633.0311,-0.0041719973,-0.1669572
"154995",633.03516,-0.0041768476,-0.16696249
"154996",633.0392,-0.0041636825,-0.16696778
"154997",633.0432,-0.0041515455,-0.16697307
"154998",633.04724,-0.004164107,-0.16697834
"154999",633.0513,-0.004184112,-0.16698362
"155000",633.0553,-0.0041894093,-0.16698888
"155001",633.0593,-0.004176669,-0.16699412
"155002",633.06335,-0.0041625425,-0.16699935
"155003",633.0674,-0.004175216,-0.16700456
"155004",633.0714,-0.0041990653,-0.16700974
"155005",633.07544,-0.0042069107,-0.16701491
"155006",633.07947,-0.0041876435,-0.16702005
"155007",633.0835,-0.0041867495,-0.16702518
"155008",633.0875,-0.004193902,-0.16703027
"155009",633.09155,-0.0042109787,-0.16703536
"155010",633.0956,-0.004214801,-0.16704042
"155011",633.0996,-0.004201077,-0.16704546
"155012",633.10364,-0.0041924044,-0.16705048
"155013",633.10767,-0.0042027086,-0.16705547
"155014",633.1117,-0.004220769,-0.16706043
"155015",633.1157,-0.0042167455,-0.16706537
"155016",633.11975,-0.0042149574,-0.16707025
"155017",633.1238,-0.0042057484,-0.16707511
"155018",633.1278,-0.0042129233,-0.16707994
"155019",633.13184,-0.004233934,-0.16708472
"155020",633.13586,-0.004240304,-0.16708946
"155021",633.1399,-0.004220322,-0.16709416
"155022",633.1439,-0.0042113364,-0.1670988
"155023",633.14795,-0.004220657,-0.16710341
"155024",633.152,-0.0042403936,-0.16710795
"155025",633.156,-0.0042444617,-0.16711245
"155026",633.16003,-0.0042221323,-0.16711691
"155027",633.16406,-0.0042157397,-0.1671213
"155028",633.1681,-0.0042336434,-0.16712566
"155029",633.1721,-0.004250072,-0.16712995
"155030",633.17615,-0.004251525,-0.1671342
"155031",633.1802,-0.004236527,-0.16713838
"155032",633.1842,-0.004227966,-0.16714251
"155033",633.18823,-0.0042383596,-0.16714658
"155034",633.19226,-0.0042557046,-0.16715059
"155035",633.1963,-0.004262857,-0.16715454
"155036",633.2003,-0.004248239,-0.16715842
"155037",633.20435,-0.0042342246,-0.16716225
"155038",633.2084,-0.0042455792,-0.16716604
"155039",633.2124,-0.0042624995,-0.16716978
"155040",633.21643,-0.0042652935,-0.16717348
"155041",633.22046,-0.00425072,-0.16717713
"155042",633.2245,-0.0042342246,-0.16718073
"155043",633.2285,-0.004247211,-0.16718431
"155044",633.23254,-0.0042722896,-0.16718785
"155045",633.2366,-0.0042736977,-0.16719137
"155046",633.2406,-0.004254855,-0.16719486
"155047",633.2446,-0.004246205,-0.16719832
"155048",633.24866,-0.004255861,-0.16720173
"155049",633.2527,-0.0042743683,-0.16720511
"155050",633.2567,-0.0042731836,-0.16720846
"155051",633.26074,-0.004264176,-0.16721179
"155052",633.2648,-0.0042549223,-0.16721506
"155053",633.2688,-0.0042594373,-0.1672183
"155054",633.2728,-0.0042783245,-0.1672215
"155055",633.27686,-0.0042804927,-0.16722466
"155056",633.2809,-0.004263036,-0.16722776
"155057",633.2849,-0.004253648,-0.16723081
"155058",633.28894,-0.004256688,-0.16723382
"155059",633.29297,-0.004280202,-0.16723679
"155060",633.297,-0.004286863,-0.1672397
"155061",633.301,-0.0042694956,-0.16724256
"155062",633.30505,-0.004257649,-0.16724537
"155063",633.3091,-0.0042708367,-0.16724814
"155064",633.3131,-0.004291691,-0.16725087
"155065",633.31714,-0.004289411,-0.16725355
"155066",633.32117,-0.004272245,-0.16725619
"155067",633.3252,-0.004262924,-0.16725878
"155068",633.3292,-0.004272692,-0.16726133
"155069",633.33325,-0.004289992,-0.16726384
"155070",633.3373,-0.0042870864,-0.1672663
"155071",633.3413,-0.0042715743,-0.16726871
"155072",633.34534,-0.0042720214,-0.16727108
"155073",633.34937,-0.004275821,-0.1672734
"155074",633.3534,-0.004298553,-0.16727568
"155075",633.3574,-0.0042952,-0.1672779
"155076",633.36145,-0.0042771623,-0.16728008
"155077",633.3655,-0.004267819,-0.1672822
"155078",633.3695,-0.004277274,-0.16728427
"155079",633.37354,-0.004293859,-0.16728628
"155080",633.37756,-0.00429634,-0.16728824
"155081",633.3816,-0.004279889,-0.16729017
"155082",633.3856,-0.004269339,-0.16729206
"155083",633.38965,-0.004269451,-0.16729392
"155084",633.3937,-0.004295245,-0.16729575
"155085",633.3977,-0.0042997375,-0.16729756
"155086",633.40173,-0.0042813644,-0.16729933
"155087",633.40576,-0.004275039,-0.16730107
"155088",633.4098,-0.0042827055,-0.1673028
"155089",633.4138,-0.0042950213,-0.16730452
"155090",633.41785,-0.0042967647,-0.16730621
"155091",633.4219,-0.004279934,-0.1673079
"155092",633.4259,-0.0042693615,-0.16730957
"155093",633.42993,-0.0042774305,-0.16731122
"155094",633.43396,-0.004286729,-0.16731288
"155095",633.438,-0.004295826,-0.16731453
"155096",633.442,-0.0042810068,-0.16731618
"155097",633.44604,-0.004268758,-0.16731784
"155098",633.4501,-0.0042754635,-0.16731949
"155099",633.4541,-0.0042939708,-0.16732115
"155100",633.4581,-0.0042918026,-0.16732281
"155101",633.46216,-0.004278727,-0.16732448
"155102",633.4662,-0.004264243,-0.16732615
"155103",633.4702,-0.0042732507,-0.16732782
"155104",633.47424,-0.0042883605,-0.16732949
"155105",633.4783,-0.004292786,-0.16733114
"155106",633.4823,-0.0042771623,-0.1673328
"155107",633.4863,-0.004261449,-0.16733444
"155108",633.49036,-0.004270792,-0.16733608
"155109",633.4944,-0.004287198,-0.1673377
"155110",633.4984,-0.004288517,-0.16733932
"155111",633.50244,-0.0042719543,-0.16734093
"155112",633.5065,-0.004254319,-0.16734253
"155113",633.5105,-0.004266657,-0.16734412
"155114",633.5145,-0.0042902604,-0.1673457
"155115",633.51855,-0.004292406,-0.16734727
"155116",633.5226,-0.00427638,-0.16734882
"155117",633.5266,-0.0042621642,-0.16735035
"155118",633.53064,-0.004273005,-0.16735186
"155119",633.53467,-0.004290104,-0.16735335
"155120",633.5387,-0.004292384,-0.16735482
"155121",633.5427,-0.0042769834,-0.16735628
"155122",633.54675,-0.004261002,-0.16735773
"155123",633.5508,-0.00427448,-0.16735916
"155124",633.5548,-0.0043011233,-0.16736056
"155125",633.55884,-0.004299894,-0.16736194
"155126",633.56287,-0.0042825937,-0.1673633
"155127",633.5669,-0.0042782575,-0.16736464
"155128",633.5709,-0.0042865053,-0.16736595
"155129",633.57495,-0.004307069,-0.16736723
"155130",633.579,-0.004313752,-0.1673685
"155131",633.583,-0.0042942837,-0.16736974
"155132",633.58704,-0.0042857006,-0.16737095
"155133",633.59106,-0.004295826,-0.16737212
"155134",633.5951,-0.0043162107,-0.16737327
"155135",633.5991,-0.0043188706,-0.16737439
"155136",633.60315,-0.0042961836,-0.16737548
"155137",633.6072,-0.0042890757,-0.16737653
"155138",633.6112,-0.0043109134,-0.16737756
"155139",633.61523,-0.0043283477,-0.16737857
"155140",633.61926,-0.004325643,-0.16737956
"155141",633.6233,-0.004315473,-0.16738053
"155142",633.6273,-0.0043038055,-0.16738148
"155143",633.63135,-0.004314646,-0.16738242
"155144",633.6354,-0.004332751,-0.16738334
"155145",633.6394,-0.0043412447,-0.16738427
"155146",633.64343,-0.004314445,-0.16738519
"155147",633.64746,-0.004316658,-0.16738613
"155148",633.6515,-0.0043269396,-0.16738708
"155149",633.6555,-0.0043407753,-0.16738805
"155150",633.65955,-0.004343435,-0.16738905
"155151",633.6636,-0.0043287724,-0.16739008
"155152",633.6676,-0.0043194965,-0.16739115
"155153",633.67163,-0.0043297783,-0.16739227
"155154",633.67566,-0.004339859,-0.16739343
"155155",633.6797,-0.004349202,-0.16739465
"155156",633.6837,-0.004339233,-0.16739593
"155157",633.68774,-0.004327789,-0.16739729
"155158",633.6918,-0.004335366,-0.16739872
"155159",633.6958,-0.0043586344,-0.16740021
"155160",633.6998,-0.0043618307,-0.16740178
"155161",633.70386,-0.004342094,-0.16740341
"155162",633.7079,-0.004334472,-0.16740511
"155163",633.7119,-0.0043440163,-0.16740689
"155164",633.71594,-0.0043634176,-0.16740873
"155165",633.72,-0.0043654963,-0.16741064
"155166",633.724,-0.004342608,-0.16741262
"155167",633.728,-0.004335344,-0.16741465
"155168",633.73206,-0.004355505,-0.16741675
"155169",633.7361,-0.004372716,-0.16741891
"155170",633.7401,-0.0043703243,-0.16742113
"155171",633.74414,-0.0043589026,-0.16742343
"155172",633.74817,-0.004341893,-0.16742578
"155173",633.7522,-0.004359305,-0.16742821
"155174",633.7562,-0.0043759793,-0.1674307
"155175",633.76025,-0.004376225,-0.16743326
"155176",633.7643,-0.004361294,-0.1674359
"155177",633.7683,-0.004351504,-0.1674386
"155178",633.77234,-0.0043601543,-0.16744137
"155179",633.77637,-0.004380204,-0.1674442
"155180",633.7804,-0.004382126,-0.16744709
"155181",633.7844,-0.0043643117,-0.16745003
"155182",633.78845,-0.0043543875,-0.167453
"155183",633.7925,-0.004366882,-0.16745603
"155184",633.7965,-0.0043800026,-0.16745909
"155185",633.80054,-0.0043852776,-0.16746219
