"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"45477",177.64062,-0.0028459579,-0.18027784
"45478",177.64453,-0.0028519928,-0.1802852
"45479",177.64844,-0.0028574243,-0.1802925
"45480",177.65234,-0.0028585866,-0.18029974
"45481",177.65625,-0.0028616264,-0.18030693
"45482",177.66016,-0.002864331,-0.18031405
"45483",177.66406,-0.0028718412,-0.18032111
"45484",177.66797,-0.002876602,-0.1803281
"45485",177.67188,-0.0028762445,-0.18033503
"45486",177.67578,-0.002876915,-0.1803419
"45487",177.67969,-0.0028813854,-0.18034871
"45488",177.6836,-0.002887331,-0.18035544
"45489",177.6875,-0.0028916895,-0.1803621
"45490",177.6914,-0.0028910637,-0.1803687
"45491",177.69531,-0.0028937235,-0.18037523
"45492",177.69922,-0.0028952658,-0.18038169
"45493",177.70312,-0.0029010326,-0.18038806
"45494",177.70703,-0.0029061958,-0.18039437
"45495",177.71094,-0.0029044747,-0.1804006
"45496",177.71484,-0.0029054806,-0.18040675
"45497",177.71875,-0.0029079393,-0.18041283
"45498",177.72266,-0.0029115826,-0.18041883
"45499",177.72656,-0.0029171705,-0.18042476
"45500",177.73047,-0.0029157847,-0.18043062
"45501",177.73438,-0.002917841,-0.1804364
"45502",177.73828,-0.0029180422,-0.1804421
"45503",177.74219,-0.0029238537,-0.18044771
"45504",177.7461,-0.0029272512,-0.18045326
"45505",177.75,-0.002925977,-0.18045871
"45506",177.7539,-0.0029256642,-0.18046409
"45507",177.75781,-0.0029278323,-0.18046938
"45508",177.76172,-0.0029311627,-0.18047458
"45509",177.76562,-0.0029340237,-0.18047969
"45510",177.76953,-0.0029315874,-0.18048471
"45511",177.77344,-0.0029307827,-0.18048966
"45512",177.77734,-0.0029296428,-0.1804945
"45513",177.78125,-0.0029336438,-0.18049926
"45514",177.78516,-0.0029366165,-0.18050392
"45515",177.78906,-0.0029308274,-0.18050851
"45516",177.79297,-0.0029286817,-0.18051301
"45517",177.79688,-0.0029301122,-0.18051742
"45518",177.80078,-0.0029301345,-0.18052173
"45519",177.80469,-0.002930671,-0.18052594
"45520",177.8086,-0.00292515,-0.18053007
"45521",177.8125,-0.0029228926,-0.1805341
"45522",177.8164,-0.002919495,-0.18053803
"45523",177.82031,-0.002921015,-0.18054187
"45524",177.82422,-0.0029198527,-0.18054561
"45525",177.82812,-0.0029141307,-0.18054925
"45526",177.83203,-0.0029089004,-0.18055277
"45527",177.83594,-0.0029072464,-0.18055618
"45528",177.83984,-0.0029050112,-0.18055947
"45529",177.84375,-0.0029054135,-0.18056265
"45530",177.84766,-0.0028983727,-0.1805657
"45531",177.85156,-0.0028920695,-0.18056864
"45532",177.85547,-0.0028873086,-0.18057144
"45533",177.85938,-0.0028881133,-0.1805741
"45534",177.86328,-0.00288523,-0.18057664
"45535",177.86719,-0.0028773844,-0.18057902
"45536",177.8711,-0.002867952,-0.18058126
"45537",177.875,-0.0028661638,-0.18058333
"45538",177.8789,-0.0028631464,-0.18058525
"45539",177.88281,-0.0028604865,-0.180587
"45540",177.88672,-0.0028511658,-0.18058857
"45541",177.89062,-0.002843544,-0.18058997
"45542",177.89453,-0.0028367266,-0.1805912
"45543",177.89844,-0.0028343573,-0.18059222
"45544",177.90234,-0.0028285906,-0.18059307
"45545",177.90625,-0.0028182417,-0.18059373
"45546",177.91016,-0.002808541,-0.18059419
"45547",177.91406,-0.0028015897,-0.18059446
"45548",177.91797,-0.0027954876,-0.18059452
"45549",177.92188,-0.002789721,-0.18059438
"45550",177.92578,-0.002776958,-0.18059404
"45551",177.92969,-0.0027652457,-0.1805935
"45552",177.9336,-0.0027560815,-0.18059276
"45553",177.9375,-0.0027502924,-0.1805918
"45554",177.9414,-0.002742827,-0.18059064
"45555",177.94531,-0.0027282313,-0.18058927
"45556",177.94922,-0.002715759,-0.1805877
"45557",177.95312,-0.002708003,-0.1805859
"45558",177.95703,-0.002698861,-0.18058391
"45559",177.96094,-0.0026898086,-0.18058169
"45560",177.96484,-0.0026747212,-0.18057926
"45561",177.96875,-0.0026635677,-0.18057662
"45562",177.97266,-0.0026518777,-0.18057378
"45563",177.97656,-0.0026436746,-0.18057072
"45564",177.98047,-0.0026346222,-0.18056744
"45565",177.98438,-0.0026204288,-0.18056396
"45566",177.98828,-0.002605565,-0.18056026
"45567",177.99219,-0.002595462,-0.18055636
"45568",177.9961,-0.002587527,-0.18055224
"45569",178,-0.0025756583,-0.18054792
"45570",178.0039,-0.002560258,-0.18054338
"45571",178.00781,-0.002547875,-0.18053862
"45572",178.01172,-0.0025343746,-0.18053366
"45573",178.01562,-0.002524741,-0.18052848
"45574",178.01953,-0.0025152639,-0.18052308
"45575",178.02344,-0.0024973378,-0.18051746
"45576",178.02734,-0.0024823174,-0.18051164
"45577",178.03125,-0.0024705827,-0.18050559
"45578",178.03516,-0.0024594069,-0.18049933
"45579",178.03906,-0.0024481416,-0.18049285
