"ids","boat2_HR","boat2_sdnn","dungeon_HR","dungeon_sdnn","boat1_HR","boat1_sdnn"
1321,81.075851,14.1708739768308,71.53741,15.422965298416,81.503066,13.8440511875937
1881,76.759818,13.181428708742,88.061535,11.5445625763849,73.378287,13.3190179188768
2239,90.629048,9.50993445135815,90.478804,9.00251727189346,89.782633,10.5212437639625
2304,89.921295,12.1850589204109,90.232197,13.4709989959245,90.983682,11.1890854856638
2311,84.838531,9.25609614615697,85.493527,7.63599190565305,86.064073,7.55144178649152
2599,79.624657,13.690420650336,81.681595,13.5145797914064,80.212765,13.9961797065767
3176,62.518763,6.51653144751779,60.642756,6.82276812415589,59.839966,7.30057394232894
3511,107.112564,8.34510311393827,129.63396,13.8149091395794,106.938749,9.6027765360644
4335,72.506469,13.1044731787566,72.508449,13.0109019299897,73.074516,14.652601754976
4592,74.977054,11.7020045999661,74.75668,5.8722886405959,74.846123,11.721910418464
5438,65.610362,12.7438475955768,69.852122,15.3900818808887,61.917561,11.3143717686938
5720,85.379029,11.4708122201235,84.607497,12.1321776818802,87.297419,9.67968454699944
5822,96.989883,14.5752370573191,107.399043,11.3932146774739,96.977773,13.88592960405
6001,87.862461,8.62070015863928,89.878104,8.04369202527547,89.688895,6.21469384402883
6429,67.625849,12.1923823807166,77.534757,10.2822801405559,67.584864,11.8985394365322
6782,67.880275,13.3112428906238,82.831399,14.9587632778556,65.559427,10.5237056355848
6924,84.265979,8.69214365166935,96.949482,7.48159756055984,85.001309,7.8548553101881
7174,71.152076,11.6644345790959,75.997194,10.2317078480192,70.160856,11.2555477479308
7653,88.287464,8.39428546873175,91.404,9.42530479209736,88.895502,8.32532538875043
7816,83.965352,16.63517008569,72.731211,9.32550664168617,78.709987,18.5587438490954
7910,83.850404,12.4609537102406,85.914839,10.5971029819597,83.497184,13.0814930912203
8378,83.085878,13.0047391101929,81.063846,11.9668350824722,84.718476,12.3819399338846
8803,78.127205,5.43126350062426,75.854088,5.86532522418511,73.246015,7.6859609122751
8823,59.129728,9.99191190831355,60.303518,10.8911889678232,58.382298,10.0479359301005
8869,75.902666,14.0196615279742,81.401882,13.6147512852944,75.503914,14.8701171034996
9114,81.098739,14.308103579061,82.039118,15.7668727207388,81.389487,13.4496913788406
9361,81.923923,15.3047259840776,92.056606,14.9946846032423,80.953206,16.51558754778
9942,63.071259,20.3912168858084,64.465293,18.3454500236933,59.742352,15.6235477902513
