"ids","baselineBreathCont","dungeonBreathCont"
"1216",23.0071051404861,24.2277753618396
"1843",13.7169898072495,12.1138723700135
"1994",8.3681304493776,6.89434983408419
"2368",14.8579413653631,6.20499429813553
"3167",10.039938086261,11.4246183980479
"3610",11.5980202566023,13.3942891675361
"4009",10.0184640570863,16.6447024442631
"4470",17.9841439797245,13.4928820122976
"4793",13.6097418874317,5.41674881385101
"4862",13.5709941261777,11.4246926609941
"5103",5.58722906117434,2.65925419804313
"5375",21.3894194314204,16.7428603601127
"5568",15.1110773542015,14.9672334518915
"5575",19.6942490582834,18.1227610223404
"6298",12.1421553788828,8.60273174050547
"6345",11.3204766634944,9.84889771875399
"6708",14.1371765905932,12.9018491008921
"6837",5.04811294184816,4.82600955195327
"7362",13.4238683109959,13.394463080239
"7412",10.593410545527,13.0993005941977
"7503",13.9433157736084,10.9321765142706
"7565",10.9566666027196,7.97759235474823
"9254",14.105018160446,15.0687746755289
"9973",10.6063917652241,8.27316004674335
