"","Time..s.","PPG.trace","Preprocessed.PPG"
"36790",490.403,71.45861,142.52051
"36791",490.41632,71.468376,142.26335
"36792",490.42963,71.3756,141.90396
"36793",490.44293,71.19005,141.4489
"36794",490.45624,70.923935,140.90747
"36795",490.46954,70.608986,140.3089
"36796",490.48285,70.296486,139.70293
"36797",490.49615,70.08896,139.19217
"36798",490.50946,70.21591,139.0094
"36799",490.52277,71.04112,139.52885
"36800",490.53607,72.935684,141.14345
"36801",490.54938,76.053406,144.0404
"36802",490.56268,80.23804,148.1017
"36803",490.576,85.02571,152.89682
"36804",490.5893,89.77432,157.80249
"36805",490.6026,93.85886,162.19247
"36806",490.6159,96.87892,165.64563
"36807",490.6292,98.739296,168.03348
"36808",490.64252,99.562065,169.44185
"36809",490.65582,99.54742,170.03851
"36810",490.66913,98.9102,170.01216
"36811",490.68243,97.84329,169.5362
"36812",490.69574,96.52003,168.77054
"36813",490.70905,95.08934,167.85611
"36814",490.72235,93.67574,166.91406
"36815",490.73566,92.36225,166.02794
"36816",490.74896,91.19524,165.24724
"36817",490.76227,90.16983,164.57169
"36818",490.77557,89.22499,163.94466
"36819",490.78888,88.29481,163.30275
"36820",490.8022,87.310905,162.57806
"36821",490.8155,86.24887,161.74449
"36822",490.8288,85.13313,160.82404
"36823",490.8421,84.051575,159.9029
"36824",490.8554,83.09697,159.0749
"36825",490.8687,82.340126,158.41484
"36826",490.88202,81.80057,157.94841
"36827",490.89532,81.43923,157.64334
"36828",490.90863,81.17555,157.42464
"36829",490.92194,80.92409,157.20992
"36830",490.93524,80.6067,156.9214
"36831",490.94855,80.17456,156.50822
"36832",490.96185,79.60815,155.94727
"36833",490.97516,78.9099,155.23677
"36834",490.98846,78.09201,154.38481
"36835",491.00177,77.18135,153.41452
"36836",491.01508,76.21454,152.35962
"36837",491.02838,75.23552,151.2623
"36838",491.0417,74.28092,150.15881
"36839",491.055,73.39468,149.09384
"36840",491.0683,72.60609,148.09883
"36841",491.0816,71.93225,147.19394
"36842",491.0949,71.39025,146.39983
"36843",491.10822,70.97276,145.71329
"36844",491.12152,70.66514,145.12357
"36845",491.13483,70.46006,144.62677
"36846",491.14813,70.34043,144.20901
"36847",491.16144,70.296486,143.8632
"36848",491.17474,70.3209,143.58438
"36849",491.18805,70.40879,143.3698
"36850",491.20135,70.54795,143.20923
"36851",491.21466,70.72617,143.09207
"36852",491.22797,70.923935,143.00003
"36853",491.24127,71.10948,142.90195
"36854",491.25458,71.26574,142.78038
"36855",491.26788,71.37316,142.61485
"36856",491.2812,71.414665,142.38676
"36857",491.2945,71.38781,142.09161
"36858",491.3078,71.29504,141.7297
"36859",491.3211,71.150986,141.31363
"36860",491.3344,70.96788,140.85399
"36861",491.34772,70.767685,140.37154
"36862",491.36102,70.5626,139.87794
"36863",491.37433,70.381935,139.40236
"36864",491.38763,70.237885,138.95775
"36865",491.40094,70.14023,138.55502
"36866",491.41425,70.08652,138.19319
"36867",491.42755,70.07187,137.86874
"36868",491.44086,70.07431,137.56093
"36869",491.45416,70.06943,137.24586
"36870",491.46747,70.03525,136.90135
"36871",491.48077,69.97177,136.52647
"36872",491.49408,69.88632,136.12764
"36873",491.5074,69.805756,135.73102
"36874",491.5207,69.803314,135.41
"36875",491.534,70.04501,135.33305
"36876",491.5473,70.853134,135.83008
"36877",491.5606,72.601204,137.29231
"36878",491.5739,75.52361,139.9835
"36879",491.58722,79.54467,143.86467
"36880",491.60052,84.283516,148.5893
"36881",491.61383,89.13222,153.57185
"36882",491.62714,93.44137,158.16638
"36883",491.64044,96.74708,161.89214
"36884",491.65375,98.89311,164.56152
"36885",491.66705,99.97711,166.23593
"36886",491.68036,100.19928,167.08238
"36887",491.69366,99.76959,167.28392
"36888",491.70697,98.87114,167.00327
"36889",491.72028,97.68215,166.404
"36890",491.73358,96.35645,165.63087
"36891",491.7469,95.02586,164.81143
"36892",491.7602,93.7905,164.04562
"36893",491.7735,92.70405,163.39012
"36894",491.7868,91.776306,162.85938
"36895",491.8001,90.965744,162.41682
"36896",491.81342,90.196686,161.99045
"36897",491.82672,89.38613,161.49854
"36898",491.84003,88.48524,160.89096
"36899",491.85333,87.48913,160.16002
"36900",491.86664,86.44663,159.35156
"36901",491.87994,85.43343,158.53983
"36902",491.89325,84.53742,157.81361
"36903",491.90656,83.80255,157.22054
"36904",491.91986,83.243454,156.78027
"36905",491.93317,82.81621,156.45439
"36906",491.94647,82.459755,156.18594
"36907",491.95978,82.1033,155.90636
"36908",491.97308,81.6907,155.55948
"36909",491.9864,81.18288,155.10449
"36910",491.9997,80.56519,154.52377
"36911",492.013,79.83765,153.81389
"36912",492.0263,79.0222,152.99338
"36913",492.0396,78.14084,152.08145
"36914",492.05292,77.222855,151.10536
"36915",492.06622,76.297554,150.09328
"36916",492.07953,75.40154,149.08156
"36917",492.09283,74.564125,148.10043
"36918",492.10614,73.814606,147.18105
"36919",492.11945,73.16762,146.34076
"36920",492.13275,72.63294,145.59258
"36921",492.14606,72.21057,144.93999
"36922",492.15936,71.89319,144.37918
"36923",492.17267,71.66613,143.89879
"36924",492.18597,71.517204,143.48943
"36925",492.19928,71.42931,143.13644
"36926",492.2126,71.38781,142.8271
"36927",492.2259,71.3756,142.54576
"36928",492.2392,71.378044,142.27869
"36929",492.2525,71.39269,142.0239
"36930",492.2658,71.4049,141.76712
"36931",492.2791,71.40978,141.5034
"36932",492.29242,71.40246,141.22763
"36933",492.30573,71.3756,140.9321
