"","Time..s.","PPG.trace","Preprocessed.PPG"
"66128",881.0222,78.9099,90.49039
"66129",881.0355,79.114975,90.6614
"66130",881.0488,79.52758,91.04635
"66131",881.06213,80.19409,91.6981
"66132",881.07544,81.077896,92.58797
"66133",881.08875,82.054474,93.59823
"66134",881.10205,82.95781,94.565765
"66135",881.11536,83.617,95.31738
"66136",881.12866,83.93927,95.752686
"66137",881.14197,83.929504,95.86602
"66138",881.1553,83.65362,95.71293
"66139",881.1686,83.20439,95.37788
"66140",881.1819,82.6746,94.94822
"66141",881.1952,82.13016,94.48736
"66142",881.2085,81.61501,94.03878
"66143",881.2218,81.160904,93.63514
"66144",881.2351,80.762955,93.27347
"66145",881.2484,80.411385,92.94574
"66146",881.2617,80.10132,92.64853
"66147",881.275,79.82788,92.37826
"66148",881.2883,79.59838,92.14338
"66149",881.30164,79.4226,91.95505
"66150",881.31494,79.310295,91.8247
"66151",881.32825,79.26147,91.75432
"66152",881.34155,79.26879,91.73856
"66153",881.35486,79.30541,91.752335
"66154",881.36816,79.361565,91.78678
"66155",881.3815,79.415276,91.82054
"66156",881.3948,79.4519,91.83889
"66157",881.4081,79.46166,91.83153
"66158",881.4214,79.43725,91.79029
"66159",881.4347,79.37621,91.71167
"66160",881.448,79.28344,91.5994
"66161",881.4613,79.168686,91.46226
"66162",881.4746,79.044174,91.31177
"66163",881.4879,78.92699,91.16471
"66164",881.5012,78.81712,91.02132
"66165",881.5145,78.72678,90.89401
"66166",881.52783,78.66331,90.79075
"66167",881.54114,78.61936,90.70503
"66168",881.55444,78.59251,90.63503
"66169",881.56775,78.57786,90.5764
"66170",881.58105,78.57542,90.52952
"66171",881.59436,78.58518,90.49477
"66172",881.60767,78.60471,90.470085
"66173",881.621,78.63157,90.45334
"66174",881.6343,78.66819,90.4472
"66175",881.6476,78.71458,90.451965
"66176",881.6609,78.75853,90.45575
"66177",881.6742,78.802475,90.4609
"66178",881.6875,78.86839,90.489395
"66179",881.7008,79.01976,90.6054
"66180",881.7141,79.34203,90.89704
"66181",881.7274,79.906006,91.44045
"66182",881.7407,80.70435,92.23586
"66183",881.754,81.654076,93.207596
"66184",881.76733,82.598915,94.204124
"66185",881.78064,83.36309,95.049515
"66186",881.79395,83.81964,95.61116
"66187",881.80725,83.931946,95.84283
"66188",881.82056,83.74639,95.78014
"66189",881.83386,83.353325,95.50415
"66190",881.84717,82.84306,95.09868
"66191",881.8605,82.30106,94.64552
"66192",881.8738,81.77615,94.19252
"66193",881.8871,81.304955,93.776825
"66194",881.9004,80.885025,93.397675
"66195",881.9137,80.52125,93.061554
"66196",881.927,80.198975,92.75557
"66197",881.9403,79.91577,92.478584
"66198",881.9536,79.67162,92.231804
"66199",881.9669,79.48119,92.03111
"66200",881.9802,79.34692,91.88062
"66201",881.9935,79.27856,91.791855
"66202",882.00684,79.26879,91.759544
"66203",882.02014,79.30297,91.770874
"66204",882.03345,79.361565,91.807686
"66205",882.04675,79.42016,91.84633
"66206",882.06006,79.46166,91.86971
"66207",882.07336,79.47143,91.862656
"66208",882.0867,79.447014,91.821724
"66209",882.1,79.3933,91.75073
"66210",882.1133,79.31274,91.65121
"66211",882.1266,79.21019,91.52718
"66212",882.1399,79.093,91.385315
"66213",882.1532,78.975815,91.239784
"66214",882.1665,78.86107,91.09303
"66215",882.1798,78.75609,90.95246
"66216",882.1931,78.67307,90.830574
"66217",882.2064,78.6096,90.72563
"66218",882.2197,78.56321,90.635796
"66219",882.23303,78.53147,90.55916
"66220",882.24634,78.519264,90.50106
"66221",882.25964,78.52415,90.45967
"66222",882.27295,78.54612,90.435524
"66223",882.28625,78.58274,90.42671
"66224",882.29956,78.624245,90.42393
"66225",882.31287,78.66575,90.42244
"66226",882.3262,78.70725,90.42225
"66227",882.3395,78.73899,90.41359
"66228",882.3528,78.78294,90.41814
"66229",882.3661,78.90013,90.49729
"66230",882.3794,79.17357,90.73636
"66231",882.3927,79.676506,91.21347
"66232",882.406,80.428474,91.95533
"66233",882.4193,81.35378,92.89403
"66234",882.4326,82.31815,93.9007
"66235",882.4459,83.140915,94.795906
"66236",882.4592,83.68047,95.43362
"66237",882.47253,83.87579,95.74395
"66238",882.48584,83.75372,95.743
"66239",882.49915,83.39971,95.50629
"66240",882.51245,82.91142,95.12424
"66241",882.52576,82.36942,94.67322
"66242",882.53906,81.84207,94.21991
"66243",882.55237,81.356224,93.791626
"66244",882.5657,80.92409,93.40187
"66245",882.579,80.54566,93.05232
"66246",882.5923,80.21362,92.737335
"66247",882.6056,79.91577,92.44616
"66248",882.6189,79.65942,92.18717
"66249",882.6322,79.447014,91.96413
"66250",882.6455,79.28832,91.788155
"66251",882.6588,79.19066,91.66825
"66252",882.6721,79.15648,91.60878
"66253",882.6854,79.17845,91.60439
"66254",882.6987,79.234604,91.63487
"66255",882.71204,79.30297,91.67932
"66256",882.72534,79.361565,91.71613
"66257",882.73865,79.40063,91.735245
"66258",882.75195,79.40307,91.718956
"66259",882.76526,79.37377,91.671005
"66260",882.77856,79.31274,91.5904
"66261",882.7919,79.22728,91.48347
"66262",882.8052,79.12474,91.35678
"66263",882.8185,79.01488,91.21957
"66264",882.8318,78.907455,91.08136
"66265",882.8451,78.8098,90.94956
"66266",882.8584,78.72678,90.82935
"66267",882.8717,78.658424,90.72121
"66268",882.885,78.6096,90.630455
"66269",882.8983,78.57786,90.55527
"66270",882.9116,78.56077,90.49374
"66271",882.9249,78.56077,90.44876
"66272",882.93823,78.56809,90.41111
"66273",882.95154,78.57786,90.37613
"66274",882.96484,78.59251,90.34634
"66275",882.97815,78.6096,90.31944
"66276",882.99146,78.626686,90.29308
"66277",883.00476,78.65598,90.279465
"66278",883.01807,78.73411,90.31559
"66279",883.0314,78.941635,90.48356
"66280",883.0447,79.361565,90.870415
"66281",883.058,80.03296,91.52186
"66282",883.0713,80.921646,92.411575
"66283",883.0846,81.900665,93.419395
"66284",883.0979,82.79912,94.37724
"66285",883.1112,83.45098,95.11658
"66286",883.1245,83.756165,95.5296
"66287",883.1378,83.72198,95.61279
"66288",883.1511,83.424126,95.43125
"66289",883.1644,82.95537,95.069496
"66290",883.17773,82.41337,94.61985
"66291",883.19104,81.864044,94.14594
"66292",883.20435,81.35134,93.69149
"66293",883.21765,80.89479,93.27717
"66294",883.23096,80.499275,92.909615
"66295",883.24426,80.15259,92.57853
"66296",883.25757,79.84985,92.28056
"66297",883.2709,79.58373,92.00975
"66298",883.2842,79.361565,91.774574
"66299",883.2975,79.200424,91.59348
"66300",883.3108,79.10521,91.47328
"66301",883.3241,79.078354,91.418465
"66302",883.3374,79.11253,91.42384
"66303",883.3507,79.18822,91.471794
"66304",883.364,79.281,91.53921
"66305",883.3773,79.36645,91.60219
"66306",883.3906,79.42748,91.643425
"66307",883.40393,79.45922,91.65727
"66308",883.41724,79.45434,91.63549
"66309",883.43054,79.41772,91.58182
"66310",883.44385,79.35424,91.500145
"66311",883.45715,79.27123,91.39696
"66312",883.47046,79.17357,91.27652
"66313",883.48376,79.07347,91.1506
"66314",883.4971,78.97337,91.021545
"66315",883.5104,78.8806,90.89669
"66316",883.5237,78.80003,90.78114
"66317",883.537,78.74143,90.68504
"66318",883.5503,78.69749,90.60177
"66319",883.5636,78.66331,90.526886
"66320",883.5769,78.64622,90.468025
"66321",883.5902,78.63645,90.415955
"66322",883.6035,78.63157,90.36846
"66323",883.6168,78.62913,90.32326
"66324",883.6301,78.63645,90.28774
"66325",883.64343,78.69993,90.30861
"66326",883.65674,78.89769,90.465744
"66327",883.67004,79.3225,90.85611
"66328",883.68335,80.0061,91.51854
"66329",883.69666,80.90456,92.41718
"66330",883.70996,81.8909,93.43179
"66331",883.72327,82.78691,94.386894
"66332",883.7366,83.43389,95.120964
"66333",883.7499,83.734184,95.528564
"66334",883.7632,83.69512,95.60619
"66335",883.7765,83.39483,95.42137
"66336",883.7898,82.92607,95.0587
"66337",883.8031,82.391396,94.61546
"66338",883.8164,81.85672,94.15552
"66339",883.8297,81.36843,93.72525
"66340",883.843,80.936295,93.33588
"66341",883.8563,80.550545,92.979385
"66342",883.8696,80.201416,92.64746
"66343",883.88293,79.88403,92.33637
"66344",883.89624,79.603264,92.05198
"66345",883.90955,79.36645,91.802765
"66346",883.92285,79.19554,91.61206
"66347",883.93616,79.09544,91.486824
"66348",883.94946,79.06859,91.4317
"66349",883.96277,79.10277,91.436775
"66350",883.9761,79.17845,91.48442
"66351",883.9894,79.273674,91.55397
"66352",884.0027,79.36645,91.62405
"66353",884.016,79.43725,91.67505
"66354",884.0293,79.47631,91.696526
"66355",884.0426,79.48119,91.68504
"66356",884.0559,79.447014,91.63465
"66357",884.0692,79.381096,91.55145
"66358",884.0825,79.29809,91.449104
"66359",884.0958,79.20531,91.33439
"66360",884.10913,79.11009,91.21434
"66361",884.12244,79.029526,91.105965
"66362",884.13574,78.96361,91.00972
"66363",884.14905,78.907455,90.92118
"66364",884.16235,78.86107,90.84065
"66365",884.17566,78.82445,90.76844
"66366",884.18896,78.79759,90.70485
"66367",884.2023,78.77562,90.6453
"66368",884.2156,78.75853,90.58995
"66369",884.2289,78.74387,90.5365
"66370",884.2422,78.74876,90.50213
"66371",884.2555,78.82689,90.54116
"66372",884.2688,79.08324,90.76085
"66373",884.2821,79.61547,91.264435
"66374",884.2954,80.45289,92.089836
"66375",884.3087,81.52224,93.17334
"66376",884.322,82.65507,94.35374
"66377",884.3353,83.63653,95.41817
"66378",884.34863,84.29084,96.18612
"66379",884.36194,84.542305,96.57167
"66380",884.37524,84.43,96.60131
"66381",884.38855,84.06378,96.37353
"66382",884.40186,83.563286,96.00002
"66383",884.41516,83.03105,95.57914
"66384",884.42847,82.53544,95.178246
"66385",884.4418,82.1033,94.82534
"66386",884.4551,81.73464,94.52241
"66387",884.4684,81.41482,94.25679
"66388",884.4817,81.11452,94.0007
"66389",884.495,80.80934,93.730354
"66390",884.5083,80.499275,93.44558
"66391",884.5216,80.18677,93.148674
"66392",884.5349,79.88159,92.849335
"66393",884.5482,79.61303,92.57707
"66394",884.5615,79.398186,92.350136
"66395",884.5748,79.24681,92.179955
"66396",884.58813,79.15892,92.06853
"66397",884.60144,79.11742,92.00074
"66398",884.61475,79.10521,91.96095
"66399",884.62805,79.10765,91.93543
"66400",884.64136,79.11009,91.90999
"66401",884.65466,79.097885,91.86997
"66402",884.66797,79.07103,91.814926
"66403",884.6813,79.02464,91.73951
"66404",884.6946,78.96361,91.647995
"66405",884.7079,78.89769,91.54969
"66406",884.7212,78.83421,91.45177
"66407",884.7345,78.77074,91.35186
"66408",884.7478,78.71702,91.25973
"66409",884.7611,78.67063,91.17325
"66410",884.7744,78.626686,91.08776
"66411",884.7877,78.58762,91.00578
"66412",884.801,78.56077,90.93479
"66413",884.81433,78.54124,90.870285
"66414",884.82764,78.521706,90.80517
"66415",884.84094,78.50706,90.74432
"66416",884.85425,78.51438,90.704994
"66417",884.86755,78.60471,90.7489
"66418",884.88086,78.88548,90.98607
"66419",884.89417,79.45678,91.52254
"66420",884.9075,80.35279,92.40157
"66421",884.9208,81.48562,93.545425
"66422",884.9341,82.67704,94.78327
"66423",884.9474,83.71221,95.9021
"66424",884.9607,84.4007,96.7066
"66425",884.974,84.6717,97.11511
"66426",884.9873,84.57404,97.163445
"66427",885.0006,84.23224,96.96458
"66428",885.0139,83.773254,96.63785
"66429",885.0272,83.28985,96.272354
"66430",885.0405,82.83818,95.92349
"66431",885.05383,82.44755,95.62155
"66432",885.06714,82.108185,95.35867
"66433",885.08044,81.80545,95.12182
"66434",885.09375,81.5198,94.892586
"66435",885.10706,81.22682,94.6471
"66436",885.12036,80.89235,94.35097
"66437",885.13367,80.51392,94.00043
"66438",885.147,80.1062,93.608765
"66439",885.1603,79.70336,93.20924
"66440",885.1736,79.33227,92.82888
"66441",885.1869,79.03929,92.51504
"66442",885.2002,78.836655,92.28238
"66443",885.2135,78.72678,92.136154
"66444",885.2268,78.68772,92.057304
"66445",885.2401,78.69749,92.02606
"66446",885.2534,78.72678,92.014656
"66447",885.2667,78.75365,92.00173
"66448",885.28,78.76341,91.97255
"66449",885.29333,78.746315,91.91681
"66450",885.30664,78.70237,91.83369
"66451",885.31995,78.63645,91.72722
"66452",885.33325,78.551,91.59916
"66453",885.34656,78.46067,91.46355
"66454",885.35986,78.3679,91.32267
"66455",885.37317,78.28245,91.18622
"66456",885.3865,78.21164,91.06174
"66457",885.3998,78.16281,90.95702
"66458",885.4131,78.133514,90.870316
"66459",885.4264,78.12375,90.80222
"66460",885.4397,78.135956,90.7558
"66461",885.453,78.16281,90.7244
"66462",885.4663,78.19455,90.69873
"66463",885.4796,78.23361,90.68137
"66464",885.4929,78.277565,90.67013
"66465",885.5062,78.328835,90.66757
"66466",885.51953,78.43137,90.71789
"66467",885.53284,78.68284,90.920334
"66468",885.54614,79.19554,91.39188
"66469",885.55945,80.03052,92.20171
"66470",885.57275,81.15602,93.32817
"66471",885.58606,82.41337,94.62164
"66472",885.59937,83.58282,95.86651
"66473",885.6127,84.44709,96.84274
"66474",885.626,84.89143,97.426056
"66475",885.6393,84.928055,97.61553
"66476",885.6526,84.661934,97.50341
"66477",885.6659,84.2298,97.21696
"66478",885.6792,83.74883,96.86817
"66479",885.6925,83.28985,96.52634
"66480",885.7058,82.88457,96.22386
"66481",885.7191,82.53544,95.964874
"66482",885.7324,82.22781,95.73648
"66483",885.7457,81.94705,95.52534
"66484",885.75903,81.6614,95.30053
"66485",885.77234,81.35134,95.04239
"66486",885.78564,80.99733,94.730606
"66487",885.79895,80.6067,94.37114
"66488",885.81226,80.184326,93.96773
"66489",885.82556,79.76196,93.551125
"66490",885.83887,79.381096,93.16282
"66491",885.8522,79.06859,92.83097
"66492",885.8655,78.84886,92.58214
"66493",885.8788,78.7219,92.419205
"66494",885.8921,78.66819,92.325554
"66495",885.9054,78.660866,92.27661
"66496",885.9187,78.677956,92.251854
"66497",885.932,78.692604,92.22519
"66498",885.9453,78.68528,92.17701
"66499",885.9586,78.65354,92.10419
"66500",885.9719,78.59495,92.00352
"66501",885.9852,78.51438,91.87904
"66502",885.99854,78.41917,91.737404
"66503",886.01184,78.31663,91.585464
"66504",886.02515,78.20676,91.42299
"66505",886.03845,78.099335,91.25953
"66506",886.05176,78.00412,91.10492
"66507",886.06506,77.93332,90.97175
"66508",886.07837,77.88937,90.86322
"66509",886.0917,77.874725,90.782616
