"","Time..s.","PPG.trace","Preprocessed.PPG"
"39304",533.8599,81.47097,154.86917
"39305",533.8732,82.08865,155.53282
"39306",533.88654,82.493935,156.00337
"39307",533.89984,82.6453,156.23268
"39308",533.91315,82.564735,156.23479
"39309",533.92645,82.31327,156.06348
"39310",533.93976,81.96414,155.78664
"39311",533.95306,81.58083,155.4647
"39312",533.9664,81.20485,155.13812
"39313",533.9797,80.86549,154.83643
"39314",533.993,80.567635,154.56561
"39315",534.0063,80.31373,154.32945
"39316",534.0196,80.113525,154.13905
"39317",534.0329,79.97925,154.00833
"39318",534.0462,79.920654,153.9491
"39319",534.0595,79.94751,153.97348
"39320",534.0728,80.05249,154.07681
"39321",534.0861,80.20874,154.23471
"39322",534.0994,80.37476,154.40726
"39323",534.11273,80.5066,154.55081
"39324",534.12604,80.570076,154.63013
"39325",534.13934,80.550545,154.62842
"39326",534.15265,80.445564,154.54065
"39327",534.16595,80.272224,154.38124
"39328",534.17926,80.062256,154.17978
"39329",534.19257,79.835205,153.95468
"39330",534.2059,79.61303,153.72736
"39331",534.2192,79.41039,153.51262
"39332",534.2325,79.237045,153.32085
"39333",534.2458,79.10033,153.16028
"39334",534.2591,78.99779,153.02962
"39335",534.2724,78.92699,152.92749
"39336",534.2857,78.88548,152.85245
"39337",534.299,78.87572,152.80785
"39338",534.3123,78.88304,152.78003
"39339",534.3256,78.907455,152.76953
"39340",534.3389,78.9514,152.77933
"39341",534.35223,79.00267,152.79782
"39342",534.36554,79.044174,152.80815
"39343",534.37885,79.07591,152.81001
"39344",534.39215,79.08812,152.79333
"39345",534.40546,79.08324,152.75995
"39346",534.41876,79.05882,152.70688
"39347",534.43207,79.01732,152.63596
"39348",534.4454,78.96361,152.55153
"39349",534.4587,78.90257,152.4581
"39350",534.472,78.83177,152.353
"39351",534.4853,78.765854,152.25056
"39352",534.4986,78.72678,152.17293
"39353",534.5119,78.76097,152.16733
"39354",534.5252,78.93431,152.30194
"39355",534.5385,79.293205,152.62753
"39356",534.5518,79.84497,153.15721
"39357",534.5651,80.54078,153.84818
"39358",534.5784,81.27566,154.59996
"39359",534.59174,81.92508,155.28925
"39360",534.60504,82.37675,155.80107
"39361",534.61835,82.58427,156.08287
"39362",534.63165,82.55497,156.13434
"39363",534.64496,82.340126,155.99934
"39364",534.65826,82.01053,155.74287
"39365",534.6716,81.636986,155.43216
"39366",534.6849,81.26101,155.10735
"39367",534.6982,80.90944,154.79518
"39368",534.7115,80.59937,154.51353
"39369",534.7248,80.325935,154.25883
"39370",534.7381,80.10132,154.0444
"39371",534.7514,79.94995,153.89621
"39372",534.7647,79.886475,153.83118
"39373",534.778,79.93042,153.87158
"39374",534.7913,80.07202,154.01102
"39375",534.8046,80.27955,154.2208
"39376",534.81793,80.499275,154.44926
"39377",534.83124,80.68238,154.64798
"39378",534.84454,80.78493,154.77185
"39379",534.85785,80.79225,154.80371
"39380",534.87115,80.70435,154.74057
"39381",534.88446,80.5359,154.59413
"39382",534.89777,80.31861,154.3936
"39383",534.9111,80.079346,154.16429
"39384",534.9244,79.84009,153.92752
"39385",534.9377,79.61547,153.6979
"39386",534.951,79.41772,153.48813
"39387",534.9643,79.24925,153.30147
"39388",534.9776,79.11986,153.1486
"39389",534.9909,79.02464,153.02588
"39390",535.0042,78.96605,152.9368
"39391",535.0175,78.94408,152.8825
"39392",535.0308,78.9514,152.85683
"39393",535.0441,78.97826,152.8509
"39394",535.05743,79.00755,152.84827
"39395",535.07074,79.04173,152.85143
"39396",535.08405,79.06615,152.84589
"39397",535.09735,79.07347,152.82402
"39398",535.11066,79.061264,152.78285
"39399",535.12396,79.03197,152.72421
"39400",535.13727,78.98558,152.64757
"39401",535.1506,78.92699,152.55727
"39402",535.1639,78.86839,152.46513
"39403",535.1772,78.82933,152.3907
"39404",535.1905,78.856186,152.38097
"39405",535.2038,79.00267,152.4917
"39406",535.2171,79.32006,152.77792
"39407",535.2304,79.818115,153.25473
"39408",535.2437,80.462654,153.89359
"39409",535.257,81.15358,154.59897
"39410",535.2703,81.78104,155.26248
"39411",535.2836,82.24002,155.77713
"39412",535.29694,82.47929,156.0864
"39413",535.31024,82.49149,156.17609
"39414",535.32355,82.32304,156.0855
"39415",535.33685,82.02762,155.86267
"39416",535.35016,81.67605,155.57446
"39417",535.36346,81.31716,155.26796
"39418",535.3768,80.98268,154.97464
"39419",535.3901,80.68726,154.70993
"39420",535.4034,80.44068,154.48483
"39421",535.4167,80.24048,154.2984
"39422",535.43,80.10132,154.16675
"39423",535.4433,80.042725,154.11133
"39424",535.4566,80.07446,154.14441
"39425",535.4699,80.19653,154.2688
"39426",535.4832,80.37965,154.45805
"39427",535.4965,80.58228,154.67256
"39428",535.5098,80.75563,154.8641
"39429",535.52313,80.86549,154.99759
"39430",535.53644,80.885025,155.04417
"39431",535.54974,80.81911,155.00592
"39432",535.56305,80.6775,154.88991
"39433",535.57635,80.482185,154.71577
"39434",535.58966,80.2649,154.51357
"39435",535.60297,80.04028,154.29723
"39436",535.6163,79.82544,154.08365
"39437",535.6296,79.63012,153.88287
"39438",535.6429,79.4641,153.70529
"39439",535.6562,79.32983,153.55426
"39440",535.6695,79.22728,153.43077
"39441",535.6828,79.16136,153.3407
"39442",535.6961,79.1223,153.27542
"39443",535.7094,79.10033,153.22601
"39444",535.7227,79.093,153.19057
"39445",535.736,79.093,153.16222
"39446",535.7493,79.10277,153.14363
"39447",535.76263,79.11009,153.12291
"39448",535.77594,79.114975,153.09998
"39449",535.78925,79.10521,153.06255
"39450",535.80255,79.08812,153.01749
"39451",535.81586,79.06615,152.96701
"39452",535.82916,79.05882,152.9305
"39453",535.84247,79.093,152.93526
"39454",535.8558,79.219955,153.03386
"39455",535.8691,79.49096,153.28049
"39456",535.8824,79.923096,153.69672
"39457",535.8957,80.49683,154.26805
"39458",535.909,81.13893,154.92567
"39459",535.9223,81.74685,155.56918
"39460",535.9356,82.21561,156.09253
"39461",535.9489,82.476845,156.423
"39462",535.9622,82.51835,156.54192
"39463",535.9755,82.37919,156.48146
"39464",535.98883,82.11551,156.29213
"39465",536.00214,81.7908,156.03354
"39466",536.01544,81.45632,155.75502
"39467",536.02875,81.143814,155.48802
"39468",536.04205,80.86549,155.24545
"39469",536.05536,80.62379,155.03079
"39470",536.06866,80.428474,154.85498
"39471",536.082,80.28687,154.72678
"39472",536.0953,80.218506,154.66737
"39473",536.1086,80.23071,154.6864
"39474",536.1219,80.325935,154.78883
"39475",536.1352,80.482185,154.95528
"39476",536.1485,80.66041,155.14857
"39477",536.1618,80.80934,155.31815
"39478",536.1751,80.89479,155.4289
"39479",536.1884,80.89479,155.45686
"39480",536.2017,80.81178,155.40182
"39481",536.215,80.655525,155.27094
"39482",536.22833,80.45289,155.08879
"39483",536.24164,80.23071,154.88077
"39484",536.25494,80.01099,154.66824
"39485",536.26825,79.80347,154.46106
"39486",536.28156,79.62524,154.27669
"39487",536.29486,79.47875,154.11848
"39488",536.30817,79.36645,153.98988
"39489",536.3215,79.28832,153.89195
"39490",536.3348,79.24193,153.82332
"39491",536.3481,79.22484,153.78253
