Time (s), PPG trace, Preprocessed PPG
13.306015,75.21355,77.91638
13.319351,75.27703,77.83029
13.332687,75.34539,77.75106
13.346016,75.41131,77.671524
13.359352,75.46258,77.5794
13.372681,75.491875,77.4669
13.386017,75.494316,77.32847
13.399353,75.47234,77.165695
13.412682,75.42596,76.97782
13.426018,75.36004,76.76897
13.439354,75.28191,76.545845
13.4526825,75.20378,76.320274
13.466019,75.13298,76.099594
13.479347,75.07439,75.88891
13.492683,75.04509,75.70569
13.50602,75.0573,75.56306
13.519348,75.142746,75.49405
13.532684,75.386894,75.58641
13.5460205,75.90936,75.96472
13.559349,76.839554,76.76708
13.572685,78.27024,78.09901
13.586014,80.20386,79.97857
13.59935,82.530556,82.31164
13.612686,85.03548,84.89564
13.626015,87.44518,87.4627
13.639351,89.52285,89.773026
13.652687,91.0927,91.640465
13.666016,92.086365,92.98078
13.679352,92.53315,93.80527
13.69268,92.523384,94.187164
13.706017,92.19379,94.248924
13.719353,91.68597,94.12216
13.732681,91.12932,93.9307
13.746017,90.63126,93.78044
13.759354,90.25773,93.739136
13.772682,90.040436,93.8424
13.786018,89.96231,94.07804
13.799347,89.95499,94.38204
13.812683,89.95743,94.69558
13.826019,89.92325,94.97257
13.839348,89.84024,95.19967
13.852684,89.73281,95.39975
13.86602,89.652245,95.62334
13.879349,89.62783,95.90056
13.892685,89.65713,96.23073
13.9060135,89.69863,96.57402
13.91935,89.70107,96.87955
13.932686,89.61074,97.09238
13.946014,89.38857,97.17055
13.959351,89.022354,97.097725
13.972687,88.516975,96.8743
13.986015,87.89685,96.520325
13.9993515,87.183945,96.0542
14.01268,86.40513,95.49988
14.026016,85.58724,94.88215
14.039352,84.754715,94.22422
14.052681,83.92462,93.54271
14.066017,83.11162,92.85235
14.079353,82.32548,92.163445
14.092682,81.583275,91.49391
14.106018,80.89479,90.854904
14.119347,80.26246,90.250534
14.132683,79.69848,89.694756
14.146019,79.200424,89.18728
14.159348,78.75609,88.71796
14.172684,78.36057,88.28357
14.18602,78.00168,87.87344
14.199348,77.67696,87.48628
