"","Time..s.","PPG.trace","Preprocessed.PPG"
"25686",463.50916,84.52277,123.80579
"25687",463.52252,84.14435,123.5687
"25688",463.53583,82.97978,122.533646
"25689",463.5492,81.24147,120.88845
"25690",463.5625,79.13695,118.82272
"25691",463.57587,76.841995,116.5008
"25692",463.58917,74.510414,114.07053
"25693",463.60254,72.27894,111.66751
"25694",463.61584,70.25254,109.399826
"25695",463.6292,68.509346,107.35202
"25696",463.64252,67.0811,105.56469
"25697",463.65588,65.97513,104.055
"25698",463.6692,65.162125,102.80372
"25699",463.68256,64.6128,101.79071
"25700",463.69586,64.3003,100.99736
"25701",463.70923,64.19531,100.40176
"25702",463.72253,64.2588,99.971344
"25703",463.7359,64.44434,99.66498
"25704",463.7492,64.6836,99.41812
"25705",463.76257,64.90822,99.1641
"25706",463.77588,65.10109,98.88535
"25707",463.78925,65.3428,98.66147
"25708",463.80255,65.90433,98.76496
"25709",463.81592,67.32769,99.74783
"25710",463.82922,70.279396,102.30353
"25711",463.8426,75.20134,106.9217
"25712",463.8559,81.96658,113.53699
"25713",463.86926,89.81094,121.4428
"25714",463.88257,97.55764,129.4961
"25715",463.89594,103.98596,136.47308
"25716",463.90924,108.2121,141.44878
"25717",463.9226,109.95041,144.06871
"25718",463.9359,109.452354,144.5066
"25719",463.94928,107.208664,143.1833
"25720",463.9626,103.70275,140.52766
"25721",463.97595,99.3399,136.90552
"25722",463.98926,94.4741,132.64409
"25723",464.00262,89.391014,128.01332
"25724",464.01593,84.33967,123.25545
"25725",464.0293,79.571526,118.62292
"25726",464.0426,75.38445,114.422455
"25727",464.05597,72.13245,111.026215
"25728",464.06927,70.16464,108.812546
"25729",464.08264,69.73495,108.07549
"25730",464.09595,70.89464,108.9144
"25731",464.1093,73.39956,111.13478
"25732",464.12262,76.71992,114.24888
"25733",464.136,80.20386,117.63032
"25734",464.1493,83.23613,120.66896
"25735",464.16266,85.36263,122.89659
"25736",464.17596,86.380714,124.08225
"25737",464.18933,86.31724,124.21817
"25738",464.20264,85.3431,123.441444
"25739",464.216,83.70733,121.97264
"25740",464.2293,81.64187,120.02303
"25741",464.24268,79.35668,117.789154
"25742",464.25598,77.01289,115.42526
"25743",464.26935,74.74967,113.068695
"25744",464.28265,72.66712,110.822075
"25745",464.29602,70.84093,108.76672
"25746",464.30933,69.3077,106.94728
"25747",464.3227,68.086975,105.39242
"25748",464.336,67.17143,104.10459
"25749",464.34937,66.53666,103.068924
"25750",464.36267,66.15335,102.264885
"25751",464.37604,65.97269,101.65151
"25752",464.38934,65.93851,101.17898
"25753",464.4027,65.98001,100.78106
"25754",464.41602,66.04593,100.40885
"25755",464.42938,66.1387,100.06556
"25756",464.4427,66.35844,99.85213
"25757",464.45605,67.01518,100.08257
"25758",464.46936,68.680244,101.34186
"25759",464.48273,72.025024,104.33289
"25760",464.49603,77.41329,109.47194
"25761",464.5094,84.59846,116.57627
"25762",464.5227,92.72846,124.849976
"25763",464.53607,100.56794,133.08722
"25764",464.54938,106.89372,140.05576
"25765",464.56274,110.88304,144.8855
"25766",464.57605,112.35035,147.3179
"25767",464.58942,111.62035,147.59885
"25768",464.60272,109.21797,146.1846
"25769",464.6161,105.62173,143.50142
"25770",464.6294,101.239334,139.91971
"25771",464.64276,96.39796,135.74207
"25772",464.65607,91.36614,131.22269
"25773",464.66943,86.366066,126.577805
"25774",464.68274,81.64431,122.054985
"25775",464.6961,77.49386,117.95592
"25776",464.7094,74.27604,114.65978
"25777",464.72278,72.35706,112.561935
"25778",464.73608,71.99817,111.9642
"25779",464.74945,73.22377,112.93974
"25780",464.76276,75.76288,115.2671
"25781",464.77612,79.07591,118.44772
"25782",464.78943,82.5037,121.846634
"25783",464.8028,85.43099,124.852165
"25784",464.8161,87.42809,127.01898
"25785",464.82947,88.30213,128.12515
"25786",464.84277,88.0824,128.16486
"25787",464.85614,86.94713,127.282166
"25788",464.86945,85.13069,125.68282
"25789",464.8828,82.86748,123.57994
"25790",464.89612,80.37476,121.176834
"25791",464.9095,77.8259,118.63968
"25792",464.9228,75.37713,116.12297
"25793",464.93616,73.14076,113.74214
"25794",464.94946,71.20714,111.59417
"25795",464.96283,69.61776,109.73001
"25796",464.97614,68.38972,108.17752
"25797",464.9895,67.508354,106.933334
"25798",465.0028,66.93706,105.97167
"25799",465.01617,66.61234,105.23874
"25800",465.02948,66.45365,104.66168
"25801",465.04285,66.38285,104.16756
"25802",465.05615,66.36332,103.72249
"25803",465.06952,66.42924,103.36226
"25804",465.08282,66.80522,103.314156
"25805",465.0962,67.984436,104.08103
"25806",465.1095,70.63828,106.35939
"25807",465.12286,75.2575,110.68605
"25808",465.13617,81.795685,117.076035
"25809",465.14954,89.57168,124.90814
"25810",465.16284,97.4551,133.09068
"25811",465.1762,104.20569,140.38675
"25812",465.1895,108.87862,145.8161
"25813",465.20288,111.11253,148.95247
"25814",465.2162,111.10277,149.91498
"25815",465.22955,109.313194,149.09737
"25816",465.24286,106.22232,146.92253
"25817",465.25623,102.240326,143.75998
"25818",465.26953,97.71145,139.92612
"25819",465.2829,92.93843,135.70657
"25820",465.2962,88.16052,131.333
"25821",465.30957,83.59014,127.017624
"25822",465.32288,79.483635,123.02331
"25823",465.33624,76.16571,119.68925
"25824",465.34955,73.95865,117.362366
"25825",465.3629,73.111465,116.32639
"25826",465.37622,73.69253,116.69219
"25827",465.3896,75.51629,118.31885
"25828",465.4029,78.133514,120.79596
"25829",465.41626,80.96071,123.56483
"25830",465.42957,83.44854,126.08268
"25831",465.44293,85.19417,127.93607
"25832",465.45624,85.98764,128.89186
"25833",465.4696,85.821625,128.91296
"25834",465.4829,84.825516,128.09879
"25835",465.49628,83.211716,126.63578
"25836",465.50958,81.18288,124.707306
"25837",465.52295,78.93919,122.50059
"25838",465.53625,76.63935,120.167595
"25839",465.54962,74.41032,117.83354
"25840",465.56293,72.35706,115.60561
"25841",465.5763,70.555275,113.56499
"25842",465.5896,69.04402,111.75858
"25843",465.60297,67.83795,110.21014
"25844",465.61627,66.9395,108.93162
"25845",465.62964,66.32426,107.90823
"25846",465.64294,65.96048,107.11709
"25847",465.6563,65.794464,106.51234
"25848",465.66962,65.75296,106.02691
"25849",465.68298,65.76761,105.59634
"25850",465.6963,65.81888,105.20284
"25851",465.70966,65.987335,104.92814
"25852",465.72296,66.565956,105.06886
"25853",465.73633,68.11871,106.201805
"25854",465.74963,71.27795,108.989746
"25855",465.763,76.36347,113.802704
"25856",465.7763,83.106735,120.43233
