"","Time..s.","PPG.trace","Preprocessed.PPG"
"71971",973.2705,72.24963,239.13782
"71972",973.2838,73.882965,240.52895
"71973",973.2971,76.175476,242.6303
"71974",973.3104,78.78783,245.12312
"71975",973.3237,81.324486,247.6219
"71976",973.33704,83.43633,249.77515
"71977",973.35034,84.876785,251.32298
"71978",973.36365,85.52621,252.1248
"71979",973.37695,85.367516,252.13881
"71980",973.39026,84.46906,251.4081
"71981",973.40356,82.948044,250.02673
"71982",973.4169,80.9485,248.11932
"71983",973.4302,78.6218,245.82227
"71984",973.4435,76.11688,243.27428
"71985",973.4568,73.55825,240.5943
"71986",973.4701,71.04845,237.8832
"71987",973.4834,68.67536,235.23038
"71988",973.4967,66.50248,232.7036
"71989",973.51,64.57374,230.35306
"71990",973.5233,62.93065,228.2279
"71991",973.5366,61.592735,226.35657
"71992",973.5499,60.589302,224.77791
"71993",973.56323,59.925232,223.50725
"71994",973.57654,59.595634,222.55031
"71995",973.58984,59.580986,221.89803
"71996",973.60315,59.851986,221.53093
"71997",973.61646,60.362247,221.41156
"71998",973.62976,61.065384,221.50102
"71999",973.64307,61.929657,221.77359
"72000",973.6564,62.91356,222.1928
"72001",973.6697,63.975586,222.72087
"72002",973.683,65.07912,223.32364
"72003",973.6963,66.168,223.94624
"72004",973.7096,67.193405,224.5394
"72005",973.7229,68.09186,225.03764
"72006",973.7362,68.82674,225.40039
"72007",973.7495,69.35409,225.57858
"72008",973.7628,69.65926,225.55107
"72009",973.7761,69.79355,225.36221
"72010",973.7894,70.01572,225.26543
"72011",973.80273,70.96788,225.90558
"72012",973.81604,73.58999,228.24544
"72013",973.82935,78.62913,233.08426
"72014",973.84265,86.082855,240.49515
"72015",973.85596,95.0869,249.68929
"72016",973.86926,104.22522,259.29907
"72017",973.88257,111.9939,267.8248
"72018",973.8959,117.29916,274.12988
"72019",973.9092,119.833374,277.8297
"72020",973.9225,119.992065,279.2332
"72021",973.9358,118.39048,278.88135
"72022",973.9491,115.46807,277.15863
"72023",973.9624,111.49096,274.2899
"72024",973.9757,106.69352,270.47653
"72025",973.989,101.33944,265.95663
"72026",974.0023,95.72167,261.00574
"72027",974.0156,90.160065,255.93542
"72028",974.02893,84.95247,251.04533
"72029",974.04224,80.31861,246.56624
"72030",974.05554,76.39033,242.64792
"72031",974.06885,73.24086,239.38565
"72032",974.08215,70.94591,236.87947
"72033",974.09546,69.61532,235.26595
"72034",974.10876,69.366295,234.6924
"72035",974.1221,70.26475,235.25854
