"","Time..s.","PPG.trace","Preprocessed.PPG"
"41565",565.37866,79.920654,131.9238
"41566",565.39197,79.744865,131.74553
"41567",565.4053,79.59106,131.58374
"41568",565.4186,79.466545,131.44644
"41569",565.4319,79.378654,131.34187
"41570",565.4452,79.32494,131.26874
"41571",565.4585,79.30541,131.2281
"41572",565.4718,79.310295,131.21127
"41573",565.4851,79.32494,131.20436
"41574",565.4984,79.344475,131.20279
"41575",565.5117,79.35912,131.19695
"41576",565.525,79.36889,131.18668
"41577",565.5383,79.37377,131.17183
"41578",565.55164,79.378654,131.15714
"41579",565.56494,79.38598,131.14503
"41580",565.57825,79.398186,131.13805
"41581",565.59155,79.4226,131.14365
"41582",565.60486,79.45922,131.16222
"41583",565.61816,79.49828,131.18437
"41584",565.6315,79.53002,131.20042
"41585",565.6448,79.551994,131.2077
"41586",565.6581,79.54955,131.19125
"41587",565.6714,79.520256,131.14787
"41588",565.6847,79.4641,131.07672
"41589",565.698,79.395744,130.99161
"41590",565.7113,79.32006,130.89703
"41591",565.7246,79.25414,130.80986
"41592",565.7379,79.200424,130.73283
"41593",565.7512,79.15892,130.66634
"41594",565.7645,79.12718,130.6083
"41595",565.77783,79.097885,130.55173
"41596",565.79114,79.06615,130.49179
"41597",565.80444,79.03685,130.4333
"41598",565.81775,79.012436,130.37878
"41599",565.83105,78.995346,130.33083
"41600",565.85767,79.078354,130.35141
"41601",565.871,79.25414,130.4984
"41602",565.8843,79.586174,130.80711
"41603",565.8976,80.10132,131.30933
"41604",565.9109,80.77516,131.98633
"41605",565.9242,81.529564,132.76495
"41606",565.9375,82.252235,133.53543
"41607",565.9508,82.81621,134.16978
"41608",565.9641,83.13847,134.58006
"41609",565.9774,83.19707,134.73674
"41610",565.9907,83.021286,134.66087
"41611",566.004,82.6746,134.4086
"41612",566.01733,82.24246,134.06004
"41613",566.03064,81.80545,133.69312
"41614",566.04395,81.42458,133.36867
"41615",566.05725,81.13649,133.12509
"41616",566.07056,80.95827,132.98239
"41617",566.08386,80.88991,132.94398
"41618",566.09717,80.89235,132.97424
"41619",566.1105,80.92409,133.03387
"41620",566.1238,80.93141,133.07008
"41621",566.1371,80.88991,133.0577
"41622",566.1504,80.797134,132.99274
"41623",566.1637,80.67506,132.89557
"41624",566.177,80.56275,132.80437
"41625",566.1903,80.499275,132.75848
"41626",566.2036,80.48707,132.76189
"41627",566.2169,80.51881,132.80885
"41628",566.2302,80.56275,132.86902
"41629",566.2435,80.58228,132.90614
"41630",566.25684,80.56031,132.90237
"41631",566.27014,80.482185,132.84177
"41632",566.28345,80.34547,132.72012
"41633",566.29675,80.15991,132.54536
"41634",566.31006,79.95239,132.34283
"41635",566.32336,79.742424,132.13138
"41636",566.3367,79.54955,131.93045
"41637",566.35,79.39086,131.75768
"41638",566.3633,79.27123,131.619
"41639",566.3766,79.183334,131.50833
"41640",566.3899,79.11742,131.41689
"41641",566.4032,79.06859,131.34047
"41642",566.4165,79.02464,131.26741
"41643",566.4298,78.9807,131.19298
"41644",566.4431,78.93675,131.11717
"41645",566.4564,78.89525,131.04243
"41646",566.4697,78.85863,130.97128
"41647",566.48303,78.82933,130.90631
"41648",566.49634,78.81224,130.85263
"41649",566.50964,78.8098,130.81306
"41650",566.52295,78.82445,130.79051
"41651",566.53625,78.853745,130.78307
"41652",566.54956,78.89769,130.79118
"41653",566.56287,78.94652,130.80556
"41654",566.5762,78.99779,130.8239
"41655",566.5895,79.04906,130.84384
"41656",566.6028,79.08812,130.85318
"41657",566.6161,79.11009,130.84665
"41658",566.6294,79.11253,130.82127
"41659",566.6427,79.10277,130.78377
"41660",566.656,79.078354,130.73131
"41661",566.6693,79.05638,130.68053
"41662",566.6826,79.03685,130.6315
"41663",566.6959,79.0222,130.58675
"41664",566.7092,79.012436,130.54642
"41665",566.72253,78.99779,130.5009
"41666",566.73584,78.9807,130.45248
"41667",566.74915,78.96361,130.40353
"41668",566.76245,78.94896,130.35649
"41669",566.77576,78.93187,130.30655
"41670",566.78906,78.91966,130.26096
