"","Time..s.","PPG.trace","Preprocessed.PPG"
"7895",133.34273,75.140305,72.56964
"7896",133.35606,74.35172,71.629196
"7897",133.3694,73.670555,70.77152
"7898",133.38274,73.09682,69.99999
"7899",133.39607,72.61097,69.29842
"7900",133.40941,72.198364,68.65491
"7901",133.42274,71.851685,68.06442
"7902",133.43608,71.56603,67.52414
"7903",133.44942,71.34142,67.035965
"7904",133.46275,71.182724,66.60669
"7905",133.47609,71.08751,66.23593
"7906",133.48943,71.04845,65.91835
"7907",133.50276,71.05089,65.64105
"7908",133.5161,71.08263,65.39313
"7909",133.52943,71.11925,65.15108
"7910",133.54277,71.14366,64.897964
"7911",133.5561,71.133896,64.611435
"7912",133.56944,71.07286,64.27333
"7913",133.58278,70.94835,63.869846
"7914",133.59612,70.75304,63.39167
"7915",133.60945,70.52842,62.878086
"7916",133.62279,70.421,62.474678
"7917",133.63612,70.75304,62.507374
"7918",133.64946,71.9884,63.453773
"7919",133.6628,74.53239,65.74739
"7920",133.67613,78.44846,69.49261
"7921",133.68947,83.38262,74.37828
"7922",133.7028,88.64149,79.74285
"7923",133.71614,93.40475,84.77615
"7924",133.72948,96.971695,88.762
"7925",133.74281,99.02983,91.3505
"7926",133.75615,99.664604,92.579956
"7927",133.76949,99.210495,92.740364
"7928",133.78282,98.04837,92.178566
"7929",133.79616,96.53956,91.233765
"7930",133.8095,94.96971,90.18078
"7931",133.82283,93.52926,89.20813
"7932",133.83617,92.28657,88.38823
"7933",133.8495,91.20012,87.68574
"7934",133.86284,90.13321,86.968834
"7935",133.87617,88.92958,86.08187
"7936",133.88951,87.49401,84.925354
"7937",133.90285,85.85092,83.51645
"7938",133.91618,84.14191,81.99027
"7939",133.92952,82.56962,80.54742
"7940",133.94286,81.322044,79.38014
"7941",133.95619,80.499275,78.59869
"7942",133.96953,80.07202,78.187035
"7943",133.98286,79.91333,78.030594
"7944",133.9962,79.86694,77.9815
"7945",134.00954,79.78638,77.896774
"7946",134.02287,79.57641,77.68013
"7947",134.03621,79.18822,77.2787
"7948",134.04955,78.607155,76.67227
"7949",134.06288,77.86008,75.88167
"7950",134.07622,76.99336,74.94808
"7951",134.08955,76.06561,73.92638
"7952",134.10289,75.13542,72.87324
